t_ve=4ms ve_width=36.09 ve_tc=38.0000
tc_greedy=45.7657 tc_ve=38.0000 best_seed=38.0000 t=270ms
t=360ms tc=37.9387
t=1057ms tc=37.8943
t=1149ms tc=37.8441
t=1231ms tc=37.8291
t=1312ms tc=37.7024
t=1392ms tc=37.6888
t=1501ms tc=37.5402
t=1593ms tc=37.4470
t=1689ms tc=37.4008
t=1786ms tc=37.3984
t=1868ms tc=37.3361
t=1956ms tc=37.1514
t=2042ms tc=37.1498
t=2130ms tc=37.1320
t=2219ms tc=37.0111
t=2300ms tc=37.0097
t=2375ms tc=36.9659
t=2464ms tc=36.7250
t=2537ms tc=36.6418
t=2603ms tc=36.5095
t=2800ms tc=36.3530
t=2877ms tc=36.2313
t=2998ms tc=36.2269
t=3088ms tc=36.2100
t=3163ms tc=36.1311
t=3243ms tc=36.1052
t=3319ms tc=36.0903
t=3405ms tc=35.9487
t=3516ms tc=35.9136
t=3624ms tc=35.8982
t=3701ms tc=35.8871
t=3802ms tc=35.7409
t=3879ms tc=35.7394
t=3955ms tc=35.6307
t=4034ms tc=35.6118
t=4113ms tc=35.5980
t=4190ms tc=35.5765
t=4396ms tc=35.5393
t=4463ms tc=35.5296
t=4556ms tc=35.5229
t=4619ms tc=35.5164
t=4705ms tc=35.5141
t=4914ms tc=35.5138
t=5021ms tc=35.5046
t=5230ms tc=35.5031
t=5322ms tc=35.5013
t=5394ms tc=35.4990
t=5931ms tc=35.4777
t=6008ms tc=35.4763
t=6120ms tc=35.4755
t=6194ms tc=35.4749
t=6268ms tc=35.4748
t=6352ms tc=35.4727
t=6427ms tc=35.4726
t=6867ms tc=35.4587
t=6959ms tc=35.4571
t=7026ms tc=35.4563
t=7089ms tc=35.4550
t=7163ms tc=35.4539
t=7229ms tc=35.4538
t=7305ms tc=35.4530
t=7389ms tc=35.4530
t=7577ms tc=35.4529
t=7660ms tc=35.4529
t=7764ms tc=35.4398
t=7833ms tc=35.4375
t=7902ms tc=35.4375
t=7974ms tc=35.4375
t=8182ms tc=35.4353
t=8264ms tc=35.4353
t=8328ms tc=35.4353
t=8490ms tc=35.4353
t=9827ms tc=35.4106
t=9916ms tc=35.4091
t=10026ms tc=35.4074
t=10109ms tc=35.3993
t=10315ms tc=35.3933
t=10410ms tc=35.3426
t=10488ms tc=35.3421
t=10581ms tc=35.3420
t=10703ms tc=35.3403
t=10780ms tc=35.3370
t=10882ms tc=35.3369
t=12151ms tc=35.3368
t=12218ms tc=35.3366
t=12331ms tc=35.3365
t=12407ms tc=35.3365
t=12491ms tc=35.3365
t=12720ms tc=35.3365
t=12788ms tc=35.3365
t=17203ms tc=35.3355
t=17290ms tc=35.3354
t=17381ms tc=35.3353
t=17455ms tc=35.3347
t=17777ms tc=35.3338
t=17858ms tc=35.3332
t=17934ms tc=35.3311
t=18019ms tc=35.3304
t=24454ms tc=35.3302
t=24565ms tc=35.3302
t=25239ms tc=35.3298
t=25367ms tc=35.3293
t=25491ms tc=35.3289
t=25746ms tc=35.3288
t=25853ms tc=35.3288
t=25943ms tc=35.3288
t=26153ms tc=35.3285
t=26625ms tc=35.3283
t=26854ms tc=35.3283
t=26975ms tc=35.3283
t=27100ms tc=35.3283
anneal_sweeps=48380 cycles=26 fresh=0
t_final=87300ms tc_final=35.3283 ve_fits=true
