t_ve=4ms ve_width=36.09 ve_tc=38.0000
tc_greedy=44.5643 tc_ve=38.0000 best_seed=38.0000 t=296ms
t=1074ms tc=37.9442
t=1152ms tc=37.8659
t=1225ms tc=37.6801
t=1304ms tc=37.2264
t=1386ms tc=37.0920
t=1459ms tc=37.0553
t=1525ms tc=37.0288
t=1594ms tc=36.9467
t=1686ms tc=36.9337
t=1782ms tc=36.7588
t=1854ms tc=36.5287
t=1930ms tc=36.5125
t=2013ms tc=36.5039
t=2082ms tc=36.4937
t=2159ms tc=36.4352
t=2374ms tc=36.3165
t=2448ms tc=36.1602
t=2515ms tc=36.0190
t=2716ms tc=35.8861
t=2790ms tc=35.8314
t=2889ms tc=35.7820
t=2971ms tc=35.7818
t=3058ms tc=35.7216
t=3137ms tc=35.5350
t=3262ms tc=35.5345
t=3341ms tc=35.5335
t=3493ms tc=35.5310
t=3636ms tc=35.5172
t=3721ms tc=35.4510
t=3844ms tc=35.4497
t=3920ms tc=35.4424
t=4038ms tc=35.4060
t=4150ms tc=35.3747
t=4234ms tc=35.3738
t=4314ms tc=35.3579
t=4388ms tc=35.3541
t=4473ms tc=35.3541
t=4567ms tc=35.3533
t=4642ms tc=35.3532
t=4744ms tc=35.3522
t=4833ms tc=35.3510
t=6097ms tc=35.3357
t=6174ms tc=35.3353
t=6243ms tc=35.3351
t=6324ms tc=35.3351
t=6401ms tc=35.3351
t=6481ms tc=35.3351
t=6554ms tc=35.3350
t=6627ms tc=35.3344
t=6738ms tc=35.3344
t=6948ms tc=35.3343
t=7022ms tc=35.3343
t=7085ms tc=35.3343
t=7154ms tc=35.3342
t=7231ms tc=35.3341
t=7309ms tc=35.3340
t=7381ms tc=35.3340
t=9432ms tc=35.3338
t=9538ms tc=35.3336
t=9644ms tc=35.3335
t=15780ms tc=35.3333
t=18774ms tc=35.3322
t=18893ms tc=35.3315
t=19316ms tc=35.3314
t=19526ms tc=35.3311
t=19687ms tc=35.3311
t=19780ms tc=35.3310
t=19873ms tc=35.3309
t=26570ms tc=35.3300
t=26692ms tc=35.3300
t=26816ms tc=35.3287
t=26975ms tc=35.3286
t=27089ms tc=35.3285
t=27364ms tc=35.3285
t=27547ms tc=35.3285
t=27675ms tc=35.3285
t=27866ms tc=35.3285
t=28097ms tc=35.3285
anneal_sweeps=48877 cycles=26 fresh=0
t_final=87301ms tc_final=35.3285 ve_fits=true
