t_ve=5ms ve_width=36.09 ve_tc=38.0000
tc_greedy=49.8060 tc_ve=38.0000 best_seed=38.0000 t=278ms
t=364ms tc=37.7208
t=1130ms tc=37.4181
t=1202ms tc=37.3861
t=1263ms tc=36.8784
t=1333ms tc=36.8574
t=1398ms tc=36.8463
t=1460ms tc=36.7521
t=1516ms tc=36.7408
t=1585ms tc=36.6379
t=1642ms tc=36.4181
t=1698ms tc=36.2969
t=1765ms tc=36.1746
t=1843ms tc=36.1671
t=1967ms tc=36.1622
t=2023ms tc=36.0927
t=2079ms tc=36.0258
t=2134ms tc=35.9962
t=2207ms tc=35.9768
t=2273ms tc=35.9162
t=2336ms tc=35.7271
t=2395ms tc=35.7165
t=2467ms tc=35.6400
t=2590ms tc=35.6307
t=2652ms tc=35.5581
t=2708ms tc=35.5496
t=2775ms tc=35.5362
t=2927ms tc=35.5256
t=2991ms tc=35.5243
t=3050ms tc=35.5180
t=3143ms tc=35.5155
t=3211ms tc=35.5148
t=3280ms tc=35.5136
t=3341ms tc=35.4989
t=3663ms tc=35.3748
t=3718ms tc=35.3701
t=3781ms tc=35.3698
t=3841ms tc=35.3678
t=4586ms tc=35.3561
t=4648ms tc=35.3528
t=4721ms tc=35.3519
t=4784ms tc=35.3512
t=4874ms tc=35.3511
t=4944ms tc=35.3510
t=5014ms tc=35.3510
t=5090ms tc=35.3352
t=5152ms tc=35.3350
t=5214ms tc=35.3348
t=5275ms tc=35.3347
t=5341ms tc=35.3325
t=5403ms tc=35.3323
t=5467ms tc=35.3323
t=5568ms tc=35.3323
t=5638ms tc=35.3320
t=5699ms tc=35.3295
t=5947ms tc=35.3295
t=6008ms tc=35.3295
t=6076ms tc=35.3292
t=6171ms tc=35.3291
t=14952ms tc=35.3290
t=15047ms tc=35.3285
t=83241ms tc=35.3285
anneal_sweeps=51861 cycles=28 fresh=0
t_final=87300ms tc_final=35.3285 ve_fits=true
