t_ve=8ms ve_width=54.92 ve_tc=56.4030
tc_greedy=57.6174 tc_ve=53.9336 best_seed=53.9336 t=465ms
t=570ms tc=53.2597
t=1345ms tc=53.2276
t=1467ms tc=53.2273
t=2275ms tc=53.2028
t=2445ms tc=52.8088
t=2568ms tc=52.8075
t=2710ms tc=52.7824
t=3189ms tc=52.7787
t=3307ms tc=52.4690
t=3419ms tc=52.3738
t=3553ms tc=52.3130
t=4263ms tc=51.5561
t=4415ms tc=51.0522
t=4565ms tc=51.0354
t=4793ms tc=51.0106
t=5193ms tc=50.5644
t=5331ms tc=50.4693
t=5457ms tc=50.1414
t=6187ms tc=50.1358
t=6313ms tc=49.8705
t=6428ms tc=49.6158
t=6556ms tc=49.5525
t=7284ms tc=49.2732
t=7443ms tc=49.2237
t=7588ms tc=49.2119
t=7744ms tc=49.1004
t=8202ms tc=49.0517
t=8344ms tc=49.0107
t=8472ms tc=48.9996
t=8583ms tc=48.9970
t=9193ms tc=48.5715
t=9313ms tc=48.5646
t=9413ms tc=48.3951
t=9529ms tc=48.1286
t=10192ms tc=48.1207
t=10319ms tc=47.7683
t=10433ms tc=47.5873
t=11186ms tc=47.4940
t=11310ms tc=47.3261
t=11438ms tc=47.2850
t=11563ms tc=47.2354
t=12195ms tc=47.1543
t=12325ms tc=47.1453
t=12452ms tc=47.0964
t=13186ms tc=47.0898
t=13302ms tc=47.0870
t=13431ms tc=47.0751
t=13574ms tc=47.0598
t=14191ms tc=47.0485
t=14334ms tc=47.0469
t=14475ms tc=47.0245
t=15187ms tc=47.0179
t=15313ms tc=47.0132
t=15435ms tc=47.0088
t=16187ms tc=46.9943
t=16319ms tc=46.9762
t=16446ms tc=46.9738
t=17181ms tc=46.9705
t=17322ms tc=46.9673
t=17469ms tc=46.9648
t=17617ms tc=46.1983
t=18197ms tc=46.1326
t=18337ms tc=45.9386
t=18470ms tc=45.8639
t=19197ms tc=45.1741
t=19330ms tc=44.8699
t=19471ms tc=44.5351
t=20190ms tc=44.2584
t=20324ms tc=43.8470
t=20464ms tc=42.4304
t=21198ms tc=41.6283
t=21338ms tc=41.4214
t=21484ms tc=41.1554
t=21617ms tc=40.8275
t=22195ms tc=40.7408
t=22334ms tc=40.6460
t=22467ms tc=40.6144
t=22597ms tc=40.0244
t=22826ms tc=39.7076
t=23194ms tc=39.5118
t=23350ms tc=39.5096
t=23493ms tc=39.3814
t=23635ms tc=39.3498
t=23778ms tc=39.1628
t=24184ms tc=39.0619
t=24333ms tc=38.8432
t=24487ms tc=38.7461
t=24632ms tc=38.6542
t=24782ms tc=38.6053
t=24922ms tc=38.5907
t=25198ms tc=38.5733
t=25344ms tc=38.4150
t=25484ms tc=38.3301
t=26191ms tc=38.2756
t=26323ms tc=38.0903
t=26462ms tc=38.0669
t=26606ms tc=38.0195
t=27200ms tc=37.9605
t=27341ms tc=37.9350
t=28182ms tc=37.8875
t=28325ms tc=37.8306
t=28469ms tc=37.7843
t=29188ms tc=37.6650
t=29333ms tc=37.5571
t=29487ms tc=37.5248
t=30192ms tc=37.4122
t=30349ms tc=37.3286
t=30497ms tc=37.1888
t=30634ms tc=37.1709
t=30768ms tc=37.1646
t=31195ms tc=37.0270
t=31335ms tc=37.0212
t=31473ms tc=36.9945
t=32181ms tc=36.9758
t=32304ms tc=36.7226
t=32427ms tc=36.6258
t=32564ms tc=36.5700
t=33194ms tc=36.5578
t=33332ms tc=36.5398
t=33463ms tc=36.3759
t=34196ms tc=36.3075
t=34345ms tc=36.2919
t=34491ms tc=36.2215
t=34621ms tc=36.2024
t=35188ms tc=36.1642
t=35332ms tc=36.1638
t=35487ms tc=36.1448
t=35645ms tc=36.1318
t=35796ms tc=36.0869
t=36036ms tc=35.7003
t=36197ms tc=35.4948
t=36349ms tc=35.4423
t=36505ms tc=35.4117
t=36654ms tc=35.4086
t=36807ms tc=35.3126
t=37187ms tc=35.3067
t=37341ms tc=35.3003
t=37486ms tc=35.2917
t=37683ms tc=35.2692
t=37840ms tc=35.1952
t=37981ms tc=35.1906
t=38192ms tc=35.0173
t=38358ms tc=35.0051
t=38497ms tc=34.9660
t=38629ms tc=34.9464
t=39183ms tc=34.9250
t=39323ms tc=34.8808
t=39457ms tc=34.8555
t=40189ms tc=34.8424
t=40344ms tc=34.8234
t=40502ms tc=34.7254
t=41188ms tc=34.7060
t=41360ms tc=34.7019
t=41512ms tc=34.6695
t=42181ms tc=34.6356
t=42317ms tc=34.6110
t=42462ms tc=34.5922
t=42602ms tc=34.5793
t=42782ms tc=34.5736
t=43194ms tc=34.5184
t=43354ms tc=34.5039
t=43507ms tc=34.4749
t=43673ms tc=34.3604
t=44178ms tc=34.2925
t=44320ms tc=34.2333
t=44456ms tc=34.1994
t=45186ms tc=34.1917
t=45332ms tc=34.1748
t=45483ms tc=34.1042
t=46189ms tc=34.1036
t=46337ms tc=34.0558
t=46484ms tc=34.0535
t=47197ms tc=34.0490
t=47337ms tc=34.0450
t=47496ms tc=34.0232
t=48194ms tc=34.0013
t=48355ms tc=33.9619
t=48511ms tc=33.9579
t=49193ms tc=33.9240
t=49339ms tc=33.9226
t=49480ms tc=33.9210
t=50198ms tc=33.9209
t=50342ms tc=33.9180
t=50520ms tc=33.8219
t=51199ms tc=33.8108
t=51348ms tc=33.7819
t=51485ms tc=33.7760
t=52197ms tc=33.7188
t=52343ms tc=33.6601
t=52492ms tc=33.6324
t=53198ms tc=33.6324
t=53344ms tc=33.6066
t=53488ms tc=33.5952
t=54198ms tc=33.5579
t=54352ms tc=33.5288
t=55187ms tc=33.5094
t=55345ms tc=33.5086
t=55493ms tc=33.4744
t=56188ms tc=33.2515
t=56345ms tc=33.1365
t=56496ms tc=33.0905
t=57193ms tc=32.9552
t=57348ms tc=32.8796
t=57501ms tc=32.7903
t=58197ms tc=32.7798
t=58342ms tc=32.7790
t=58489ms tc=32.7777
t=59196ms tc=32.7753
t=59355ms tc=32.7684
t=59504ms tc=32.7494
t=60195ms tc=32.7115
t=60357ms tc=32.6992
t=60499ms tc=32.6657
t=61201ms tc=32.6196
t=61353ms tc=32.5094
t=61500ms tc=32.4274
t=62192ms tc=32.3941
t=62343ms tc=32.3825
t=62493ms tc=32.3706
t=63201ms tc=32.3672
t=63372ms tc=32.3481
t=63507ms tc=32.3204
t=64197ms tc=32.2174
t=64336ms tc=32.1978
t=64478ms tc=32.1816
t=65187ms tc=32.1710
t=65334ms tc=32.1550
t=65496ms tc=32.1195
t=66195ms tc=32.0924
t=66340ms tc=32.0717
t=66485ms tc=32.0269
t=67192ms tc=32.0239
t=67348ms tc=31.9908
t=67499ms tc=31.9495
t=68201ms tc=31.9278
t=68341ms tc=31.9145
t=68482ms tc=31.9130
t=69188ms tc=31.9125
t=69324ms tc=31.9099
t=69466ms tc=31.9018
t=70188ms tc=31.9011
t=70343ms tc=31.8965
t=70499ms tc=31.8181
t=71203ms tc=31.8075
t=71357ms tc=31.7693
t=71512ms tc=31.7682
t=72199ms tc=31.7670
t=72354ms tc=31.7632
t=72496ms tc=31.7544
t=73195ms tc=31.7533
t=73346ms tc=31.6998
t=73491ms tc=31.6866
t=74195ms tc=31.6701
t=74339ms tc=31.6685
t=74481ms tc=31.6680
t=75191ms tc=31.6635
t=75325ms tc=31.6614
t=75555ms tc=31.6603
t=76191ms tc=31.6592
t=76337ms tc=31.6592
t=76525ms tc=31.6591
t=77199ms tc=31.5986
t=77356ms tc=31.5687
t=78182ms tc=31.5574
t=78329ms tc=31.5574
t=78493ms tc=31.5562
t=79194ms tc=31.5148
t=79341ms tc=31.4839
t=80182ms tc=31.4834
t=80314ms tc=31.4602
t=80456ms tc=31.4442
t=81189ms tc=31.4259
t=81343ms tc=31.4140
t=81489ms tc=31.3411
t=82200ms tc=31.3394
t=82352ms tc=31.3376
t=82497ms tc=31.2838
t=83195ms tc=31.2733
t=83348ms tc=31.2543
t=83491ms tc=31.2202
t=84189ms tc=31.1419
t=84343ms tc=31.1363
t=84506ms tc=31.1220
t=85197ms tc=31.0630
t=85347ms tc=31.0442
t=85485ms tc=31.0347
t=86189ms tc=30.9971
t=86325ms tc=30.9085
t=86497ms tc=30.9082
t=87193ms tc=30.8977
t=87400ms tc=30.8922
anneal_sweeps=1278 cycles=1 fresh=0
t_final=87403ms tc_final=30.8922 ve_fits=true
