t_ve=4ms ve_width=36.09 ve_tc=38.0000
tc_greedy=41.2117 tc_ve=38.0000 best_seed=38.0000 t=261ms
t=350ms tc=37.9509
t=1115ms tc=37.9101
t=1180ms tc=37.8346
t=1240ms tc=37.8290
t=1329ms tc=37.4829
t=1392ms tc=37.4398
t=1454ms tc=37.3651
t=1560ms tc=37.3302
t=1622ms tc=37.1661
t=1680ms tc=37.1405
t=1742ms tc=37.1095
t=1802ms tc=36.7795
t=1864ms tc=36.7028
t=1947ms tc=36.6608
t=2013ms tc=36.5656
t=2111ms tc=36.4550
t=2174ms tc=36.4401
t=2248ms tc=36.3153
t=2386ms tc=36.2695
t=2456ms tc=36.2645
t=2536ms tc=36.2269
t=2603ms tc=36.2242
t=2672ms tc=36.2241
t=2746ms tc=36.2196
t=2837ms tc=36.1834
t=2987ms tc=35.8590
t=3056ms tc=35.6860
t=3143ms tc=35.6840
t=3260ms tc=35.6306
t=3326ms tc=35.6260
t=3403ms tc=35.5031
t=3472ms tc=35.5022
t=3546ms tc=35.3766
t=3889ms tc=35.3571
t=4027ms tc=35.3406
t=4098ms tc=35.3403
t=4178ms tc=35.3401
t=4667ms tc=35.3400
t=4742ms tc=35.3396
t=4815ms tc=35.3391
t=7463ms tc=35.3323
t=7550ms tc=35.3320
t=7655ms tc=35.3317
t=7747ms tc=35.3317
t=7832ms tc=35.3315
t=7925ms tc=35.3314
t=20986ms tc=35.3293
t=21068ms tc=35.3286
t=21173ms tc=35.3284
t=21340ms tc=35.3283
anneal_sweeps=52037 cycles=28 fresh=0
t_final=87300ms tc_final=35.3283 ve_fits=true
