t_ve=9ms ve_width=54.92 ve_tc=56.4030
tc_greedy=59.9359 tc_ve=53.9336 best_seed=53.9336 t=566ms
t=693ms tc=53.2192
t=2092ms tc=38.9778
t=2210ms tc=38.7550
t=2308ms tc=38.7383
t=2406ms tc=38.7187
t=2497ms tc=38.5420
t=2594ms tc=38.4796
t=2690ms tc=38.4267
t=2784ms tc=38.4263
t=2884ms tc=38.4071
t=3011ms tc=38.3668
t=3114ms tc=38.3559
t=3214ms tc=37.9516
t=3306ms tc=37.8805
t=3404ms tc=37.8697
t=3686ms tc=37.8506
t=3785ms tc=37.8373
t=3905ms tc=37.7251
t=4015ms tc=37.6790
t=4110ms tc=37.6474
t=4212ms tc=37.5770
t=4322ms tc=37.5764
t=4417ms tc=37.5603
t=4683ms tc=37.5571
t=4789ms tc=37.5098
t=4888ms tc=37.5045
t=4981ms tc=37.5013
t=5073ms tc=37.4868
t=5170ms tc=37.4853
t=5267ms tc=37.4801
t=5366ms tc=37.4779
t=5462ms tc=37.4739
t=5690ms tc=37.4724
t=5787ms tc=37.4440
t=5898ms tc=37.4418
t=5998ms tc=37.4352
t=6096ms tc=37.4216
t=6194ms tc=37.4171
t=6537ms tc=37.4120
t=6665ms tc=37.3907
t=6762ms tc=37.3819
t=6877ms tc=37.3818
t=6998ms tc=37.3725
t=7097ms tc=37.3719
t=7215ms tc=37.3626
t=7321ms tc=37.3594
t=7495ms tc=37.3577
t=7593ms tc=37.3526
t=7719ms tc=37.3500
t=7838ms tc=37.3450
t=7958ms tc=37.3388
t=8082ms tc=37.3356
t=8205ms tc=37.3299
t=8316ms tc=37.3070
t=8768ms tc=37.2009
t=8870ms tc=37.1948
t=9009ms tc=37.1942
t=9112ms tc=37.1941
t=9231ms tc=37.1925
t=9330ms tc=37.1919
t=9449ms tc=37.1919
t=9600ms tc=37.1908
t=9749ms tc=37.1901
t=9934ms tc=37.1900
t=10152ms tc=37.1877
t=10340ms tc=37.1873
t=10494ms tc=37.1872
t=10647ms tc=37.1869
t=10785ms tc=37.1868
t=10910ms tc=37.1866
t=11045ms tc=37.1859
t=11173ms tc=37.1859
t=11468ms tc=37.1853
t=11607ms tc=37.1849
t=11740ms tc=37.1849
t=11873ms tc=37.1848
t=12009ms tc=37.1848
t=12255ms tc=37.1841
t=12389ms tc=37.1841
t=12633ms tc=37.1840
t=12777ms tc=37.1840
t=13425ms tc=37.1840
