t_ve=6ms ve_width=54.92 ve_tc=56.4030
tc_greedy=66.9673 tc_ve=53.9339 best_seed=53.9339 t=383ms
t=497ms tc=53.5761
t=1335ms tc=53.4202
t=1492ms tc=53.0630
t=2332ms tc=52.8524
t=2470ms tc=52.8333
t=2616ms tc=52.7927
t=3338ms tc=52.6960
t=3489ms tc=52.6716
t=3624ms tc=52.5835
t=4335ms tc=52.5673
t=4474ms tc=52.1016
t=4608ms tc=51.9188
t=5329ms tc=51.9065
t=5463ms tc=51.8433
t=5588ms tc=51.2858
t=6333ms tc=51.2260
t=6462ms tc=50.8739
t=6612ms tc=50.1868
t=7329ms tc=50.0603
t=7458ms tc=49.9031
t=7566ms tc=49.8779
t=8321ms tc=49.8292
t=8440ms tc=49.7253
t=8560ms tc=49.3163
t=8681ms tc=48.9692
t=9337ms tc=48.9148
t=9470ms tc=48.8496
t=9589ms tc=48.7862
t=10320ms tc=48.6927
t=10451ms tc=48.6826
t=10555ms tc=48.3452
t=10645ms tc=48.2897
t=11322ms tc=48.0506
t=11418ms tc=47.8575
t=11514ms tc=47.8063
t=11636ms tc=47.7938
t=12336ms tc=47.7823
t=12451ms tc=47.6135
t=12570ms tc=47.5538
t=12668ms tc=47.5518
t=13340ms tc=47.3585
t=13457ms tc=47.3367
t=13581ms tc=47.3103
t=14331ms tc=47.3070
t=14435ms tc=45.7131
t=14531ms tc=45.6797
t=14659ms tc=45.5223
t=15330ms tc=45.5223
t=15449ms tc=45.5178
t=15595ms tc=45.4942
t=16325ms tc=45.4941
t=16443ms tc=45.4707
t=16565ms tc=45.4593
t=16681ms tc=45.4485
t=17329ms tc=45.4442
t=17454ms tc=45.4035
t=17579ms tc=45.3676
t=18323ms tc=45.3442
t=18420ms tc=45.3397
t=18519ms tc=45.3340
t=18641ms tc=45.3308
t=19330ms tc=45.2892
t=19440ms tc=45.2732
t=19557ms tc=45.2523
t=19676ms tc=45.2350
t=20333ms tc=45.2338
t=20470ms tc=45.2308
t=20607ms tc=44.3152
t=20706ms tc=44.2953
t=21334ms tc=44.2877
t=21434ms tc=44.2794
t=21521ms tc=44.2726
t=21616ms tc=44.2655
t=22329ms tc=43.4085
t=22446ms tc=43.3794
t=22569ms tc=42.5645
t=23326ms tc=42.5633
t=23433ms tc=42.4396
t=23557ms tc=41.6742
t=23715ms tc=41.6661
t=24338ms tc=41.5929
t=24479ms tc=41.5353
t=24616ms tc=41.5300
t=25337ms tc=41.5146
t=25477ms tc=41.5087
t=26319ms tc=41.4890
t=26474ms tc=41.4476
t=26619ms tc=41.4298
t=27319ms tc=41.4226
t=27457ms tc=41.4167
t=27598ms tc=41.4106
t=27731ms tc=41.3816
t=28337ms tc=39.4917
t=28487ms tc=39.2635
t=28629ms tc=38.9742
t=29336ms tc=38.3610
t=29482ms tc=38.3007
t=29625ms tc=38.2919
t=30329ms tc=38.2857
t=30463ms tc=38.0162
t=30589ms tc=37.9831
t=31319ms tc=37.8534
t=31458ms tc=37.7003
t=31613ms tc=37.6905
t=32324ms tc=37.6240
t=32471ms tc=37.5751
t=32618ms tc=37.3941
t=33334ms tc=37.0303
t=33484ms tc=36.9583
t=33623ms tc=36.9410
t=34331ms tc=36.7825
t=34464ms tc=36.6828
t=34588ms tc=36.6349
t=35328ms tc=36.5521
t=35462ms tc=36.5198
t=35592ms tc=36.4936
t=36330ms tc=36.4755
t=36458ms tc=36.4482
t=36605ms tc=36.3381
t=37330ms tc=36.2620
