t_ve=6ms ve_width=45.34 ve_tc=45.9388
tc_greedy=51.9327 tc_ve=45.9388 best_seed=45.9388 t=317ms
t=996ms tc=45.5459
t=1104ms tc=45.0734
t=1206ms tc=44.9581
t=1303ms tc=44.7971
t=1388ms tc=44.7411
t=1479ms tc=44.0321
t=1574ms tc=43.8634
t=1661ms tc=43.8243
t=1748ms tc=43.7563
t=1865ms tc=43.6442
t=1954ms tc=43.6297
t=2052ms tc=43.6257
t=2147ms tc=43.5559
t=2229ms tc=43.2689
t=2326ms tc=43.0223
t=2418ms tc=42.9777
t=2590ms tc=42.6369
t=2683ms tc=42.5798
t=2770ms tc=42.1811
t=2857ms tc=42.1496
t=2953ms tc=41.0195
t=3041ms tc=40.6717
t=3132ms tc=40.6398
t=3215ms tc=40.4739
t=3581ms tc=40.4399
t=3663ms tc=40.4176
t=3749ms tc=40.3915
t=3830ms tc=40.3910
t=3926ms tc=39.9357
t=4015ms tc=39.8520
t=4102ms tc=39.8213
t=4193ms tc=39.4965
t=4291ms tc=39.3530
t=4587ms tc=38.8725
t=4677ms tc=38.8462
t=4772ms tc=38.6726
t=4879ms tc=38.3328
t=4972ms tc=38.1203
t=5092ms tc=38.0485
t=5189ms tc=37.9401
t=5299ms tc=37.4985
t=5590ms tc=37.4458
t=5708ms tc=37.0697
t=5813ms tc=36.9666
t=5898ms tc=36.4757
t=5996ms tc=36.4068
t=6089ms tc=36.2173
t=6207ms tc=36.0045
t=6290ms tc=35.8801
t=6588ms tc=35.8742
t=6675ms tc=35.8172
t=6746ms tc=35.7325
t=6850ms tc=35.6869
t=6938ms tc=35.5593
t=7032ms tc=35.5366
t=7126ms tc=35.4641
t=7214ms tc=35.3603
t=7321ms tc=35.1512
t=7598ms tc=35.1290
t=7696ms tc=35.1199
t=7809ms tc=34.9509
t=7942ms tc=34.9409
t=8044ms tc=34.8994
t=8141ms tc=34.8849
t=8230ms tc=34.8206
t=8586ms tc=34.8080
t=8672ms tc=34.7711
t=8762ms tc=34.7269
t=8857ms tc=34.7119
t=8949ms tc=34.6606
t=9031ms tc=34.5809
t=9119ms tc=34.5796
t=9210ms tc=34.5661
t=9584ms tc=34.5588
t=9678ms tc=34.5430
t=9778ms tc=34.5139
t=9869ms tc=34.4900
t=9957ms tc=34.4884
t=10062ms tc=34.4595
t=10215ms tc=34.4279
t=10303ms tc=34.4276
t=10584ms tc=34.4250
t=10669ms tc=34.3795
t=10769ms tc=34.3545
t=10863ms tc=32.6756
t=10957ms tc=32.6690
t=11070ms tc=32.6404
t=11158ms tc=32.6396
t=11237ms tc=32.6227
t=11324ms tc=32.6119
t=11589ms tc=32.5932
t=11675ms tc=32.5906
t=11792ms tc=32.5881
t=11905ms tc=32.5853
t=12009ms tc=32.5462
t=12146ms tc=32.5323
t=12237ms tc=32.5311
t=12329ms tc=32.5286
t=12588ms tc=32.4938
t=12679ms tc=32.4840
t=12765ms tc=32.4809
t=12858ms tc=32.4709
t=13209ms tc=31.7952
t=13303ms tc=31.7888
t=13396ms tc=31.7884
t=13490ms tc=31.7850
t=13590ms tc=31.7848
t=13714ms tc=31.7557
t=13805ms tc=31.7545
t=14435ms tc=31.7505
t=14530ms tc=31.5225
t=14625ms tc=31.5212
t=14722ms tc=31.5165
t=14813ms tc=31.5007
t=15022ms tc=31.4966
t=15117ms tc=31.4397
t=15204ms tc=31.4360
t=15315ms tc=31.4350
t=15399ms tc=31.4341
t=15514ms tc=31.4339
t=15610ms tc=31.4324
t=15783ms tc=31.3829
t=15925ms tc=31.3820
t=16025ms tc=31.3819
t=16115ms tc=31.3807
t=16206ms tc=31.3804
t=16301ms tc=31.3779
t=16411ms tc=30.7136
t=16678ms tc=30.7133
t=16766ms tc=30.7132
t=16939ms tc=30.7128
t=17688ms tc=30.7126
t=17780ms tc=30.7125
t=19033ms tc=30.7105
t=19119ms tc=30.7099
t=19207ms tc=30.6777
t=19288ms tc=30.5685
t=19372ms tc=30.3011
t=19451ms tc=30.1987
t=19539ms tc=30.1821
t=19620ms tc=30.0645
t=19773ms tc=29.9747
t=19865ms tc=29.8889
t=19966ms tc=29.8337
t=20056ms tc=29.7715
t=20154ms tc=29.7317
t=20270ms tc=29.7308
t=20373ms tc=29.6953
t=20466ms tc=29.6830
t=20591ms tc=29.6388
t=20707ms tc=29.5991
t=20816ms tc=29.5983
t=20933ms tc=29.5506
t=21032ms tc=29.4823
t=21128ms tc=29.4452
t=21225ms tc=29.4285
t=21582ms tc=29.3075
t=21723ms tc=29.2873
t=21838ms tc=29.2611
t=21950ms tc=29.2035
t=22045ms tc=29.1390
t=22135ms tc=29.1168
t=22241ms tc=29.0885
t=22342ms tc=29.0511
t=22584ms tc=29.0428
t=22698ms tc=29.0264
t=22830ms tc=29.0181
t=22948ms tc=28.9738
t=23067ms tc=28.9307
t=23170ms tc=28.9146
t=23295ms tc=28.8222
t=23388ms tc=28.7566
t=23588ms tc=28.6416
t=23684ms tc=28.6332
t=23779ms tc=28.5918
t=23876ms tc=28.5661
t=23983ms tc=28.5610
t=24102ms tc=28.5585
t=24222ms tc=28.5324
t=24335ms tc=28.5251
t=24589ms tc=28.5181
t=24703ms tc=28.4941
t=24849ms tc=28.4651
t=24947ms tc=28.4416
t=25164ms tc=28.4371
t=25300ms tc=28.4267
t=25409ms tc=28.4052
t=25500ms tc=28.3815
t=25616ms tc=28.3381
t=25752ms tc=28.3330
t=25899ms tc=28.3276
t=26343ms tc=28.3125
t=26443ms tc=28.3115
t=26540ms tc=28.3105
t=26636ms tc=28.3051
t=26749ms tc=28.3038
t=26847ms tc=28.2944
t=26943ms tc=28.2934
t=27118ms tc=28.2852
t=27225ms tc=28.2797
t=27318ms tc=28.2762
t=27571ms tc=28.2746
t=27664ms tc=28.2698
t=27790ms tc=28.2676
t=28007ms tc=28.2540
t=28096ms tc=28.2495
t=28186ms tc=28.2465
t=28279ms tc=28.2370
t=28423ms tc=28.1858
t=28514ms tc=28.1832
t=28615ms tc=28.1190
t=28744ms tc=28.1099
t=28842ms tc=28.1058
t=28984ms tc=28.0934
t=29088ms tc=28.0922
t=29192ms tc=28.0873
t=29390ms tc=28.0817
t=29497ms tc=28.0778
t=29621ms tc=28.0764
t=29814ms tc=28.0751
t=29914ms tc=28.0737
t=30074ms tc=28.0714
t=30234ms tc=28.0711
t=30371ms tc=28.0697
t=30633ms tc=28.0697
t=30863ms tc=28.0697
t=30958ms tc=28.0696
t=31054ms tc=28.0695
t=31163ms tc=28.0695
t=31475ms tc=28.0693
